review_id,spot_slug,spot_name,date,source,scene_source,is_frozen_organized,label,note,rgb_path,annotated_rgb_path,nir_path,annotated_nir_path
cow-bay_2026-03-18,cow-bay,Cow Bay (Osbourne),2026-03-18,frozen_organized,foam_manifest,true,,,pipeline/research/swell_lines_v5/review_images/cow-bay/cow-bay_2026-03-18_2.1m_rgb.png,pipeline/data/gallery/cow-bay/cow-bay_2026-03-18_2.1m_rgb_annotated.png,pipeline/research/swell_lines_v5/review_images/cow-bay/cow-bay_2026-03-18_2.1m_nir.png,pipeline/data/gallery/cow-bay/cow-bay_2026-03-18_2.1m_nir_annotated.png
cow-bay_2023-11-19,cow-bay,Cow Bay (Osbourne),2023-11-19,development_candidate,foam_manifest,false,,,pipeline/research/swell_lines_v5/review_images/cow-bay/cow-bay_2023-11-19_3.5m_rgb.png,pipeline/data/gallery/cow-bay/cow-bay_2023-11-19_3.5m_rgb_annotated.png,pipeline/research/swell_lines_v5/review_images/cow-bay/cow-bay_2023-11-19_3.5m_nir.png,pipeline/data/gallery/cow-bay/cow-bay_2023-11-19_3.5m_nir_annotated.png
cow-bay_2022-09-10,cow-bay,Cow Bay (Osbourne),2022-09-10,development_candidate,foam_manifest,false,,,pipeline/research/swell_lines_v5/review_images/cow-bay/cow-bay_2022-09-10_1.6m_rgb.png,pipeline/data/gallery/cow-bay/cow-bay_2022-09-10_1.6m_rgb_annotated.png,pipeline/research/swell_lines_v5/review_images/cow-bay/cow-bay_2022-09-10_1.6m_nir.png,pipeline/data/gallery/cow-bay/cow-bay_2022-09-10_1.6m_nir_annotated.png
cow-bay_2022-06-19,cow-bay,Cow Bay (Osbourne),2022-06-19,development_candidate,foam_manifest,false,,,pipeline/research/swell_lines_v5/review_images/cow-bay/cow-bay_2022-06-19_1.6m_rgb.png,,pipeline/research/swell_lines_v5/review_images/cow-bay/cow-bay_2022-06-19_1.6m_nir.png,
cow-bay_2022-05-10,cow-bay,Cow Bay (Osbourne),2022-05-10,development_candidate,foam_manifest,false,,,pipeline/research/swell_lines_v5/review_images/cow-bay/cow-bay_2022-05-10_1.5m_rgb.png,,pipeline/research/swell_lines_v5/review_images/cow-bay/cow-bay_2022-05-10_1.5m_nir.png,
cow-bay_2025-04-02,cow-bay,Cow Bay (Osbourne),2025-04-02,development_candidate,foam_manifest,false,,,pipeline/research/swell_lines_v5/review_images/cow-bay/cow-bay_2025-04-02_1.4m_rgb.png,pipeline/data/gallery/cow-bay/cow-bay_2025-04-02_1.4m_rgb_annotated.png,pipeline/research/swell_lines_v5/review_images/cow-bay/cow-bay_2025-04-02_1.4m_nir.png,pipeline/data/gallery/cow-bay/cow-bay_2025-04-02_1.4m_nir_annotated.png
cow-bay_2025-03-13,cow-bay,Cow Bay (Osbourne),2025-03-13,development_candidate,foam_manifest,false,,,pipeline/research/swell_lines_v5/review_images/cow-bay/cow-bay_2025-03-13_1.0m_rgb.png,,pipeline/research/swell_lines_v5/review_images/cow-bay/cow-bay_2025-03-13_1.0m_nir.png,
cow-bay_2021-11-09,cow-bay,Cow Bay (Osbourne),2021-11-09,development_candidate,foam_manifest,false,,,pipeline/research/swell_lines_v5/review_images/cow-bay/cow-bay_2021-11-09_1.0m_rgb.png,pipeline/data/gallery/cow-bay/cow-bay_2021-11-09_1.0m_rgb_annotated.png,pipeline/research/swell_lines_v5/review_images/cow-bay/cow-bay_2021-11-09_1.0m_nir.png,pipeline/data/gallery/cow-bay/cow-bay_2021-11-09_1.0m_nir_annotated.png
lawrencetown-beach_2023-11-19,lawrencetown-beach,Lawrencetown Beach,2023-11-19,frozen_organized,foam_manifest,true,,,pipeline/research/swell_lines_v5/review_images/lawrencetown-beach/lawrencetown-beach_2023-11-19_3.5m_rgb.png,pipeline/data/gallery/lawrencetown-beach/lawrencetown-beach_2023-11-19_3.5m_rgb_annotated.png,pipeline/research/swell_lines_v5/review_images/lawrencetown-beach/lawrencetown-beach_2023-11-19_3.5m_nir.png,pipeline/data/gallery/lawrencetown-beach/lawrencetown-beach_2023-11-19_3.5m_nir_annotated.png
lawrencetown-beach_2026-03-18,lawrencetown-beach,Lawrencetown Beach,2026-03-18,development_candidate,foam_manifest,false,,,pipeline/research/swell_lines_v5/review_images/lawrencetown-beach/lawrencetown-beach_2026-03-18_2.1m_rgb.png,pipeline/data/gallery/lawrencetown-beach/lawrencetown-beach_2026-03-18_2.1m_rgb_annotated.png,pipeline/research/swell_lines_v5/review_images/lawrencetown-beach/lawrencetown-beach_2026-03-18_2.1m_nir.png,pipeline/data/gallery/lawrencetown-beach/lawrencetown-beach_2026-03-18_2.1m_nir_annotated.png
